Australian Broadcasting Corporation,www.abc.net.au
SBS,www.sbs.com.au
News.com.au,www.news.com.au
Sydney Morning Herald,www.smh.com.au
The Australian,www.theaustralian.com.au
Sky News,www.skynews.com.au
The Guardian,www.theguardian.com.au
Mumbrella,mumbrella.com.au
Crikey,www.crikey.com.au
Mamamia,www.mamamia.com.au
New Matilda,newmatilda.com 
HSBC,hsbc.com.au
Bank of Queensland,www.boq.com.au
ME Bank,www.mebank.com.au
ANZ,www.anz.com 
NAB,www.nab.com.au
Westpac,www.westpac.com.au
Bendigo Bank,www.bendigobank.com.au
Citibank,www.citibank.com.au
Bankwest,www.bankwest.com.au
St.George,www.stgeorge.com.au
People’s Choice Credit Union,www.peopleschoicecu.com.au
Commonwealth,www.commbank.com.au
eBay,www.ebay.com.au
Gumtree,www.gumtree.com.au
Realestate.com.au,www.realestate.com.au
Woolworths,www.woolworths.com.au
Target,www.target.com.au
Bunnings Warehouse,www.bunnings.com.au
Myer,www.myer.com.au
Coles,www.coles.com.au
Big W,www.bigw.com.au
JB Hifi,www.jbhifi.com.au
Officeworks,www.officeworks.com.au
Internode,www.internode.on.net 
Adam Internet,www.adam.com.au
iiNet,www.iinet.net.au
Westnet,www.westnet.com.au
Optus,www.optus.com.au
NBNco,www.nbnco.com.au
Telstra,www.telstra.com.au
TPG,www.tpg.com.au
Virgin Mobile,www.virginmobile.com.au
Amaysim,www.amaysim.com.au
iTnews,www.itnews.com.au
linux.conf.au,linux.conf.au
Halfbrick Studios,halfbrick.com 
MYOB,myob.com.au
Technologyone corp,www.technologyonecorp.com 
Risky Business InfoSec podcast,risky.biz 
Atlassian,www.atlassian.com 
Whirlpool,whirlpool.net.au
HTTPSWatchAU,httpswatch.com.au
Flight Centre,www.flightcentre.com.au
Tourism Australia,www.australia.com 
Expedia,www.expedia.com.au
Webjet,www.webjet.com.au
Qantas,www.qantas.com.au
YHA Australia,www.yha.com.au
University of Sydney,www.sydney.edu.au
Australian National University,www.anu.edu.au
Deakin University,www.deakin.edu.au
Monash University,www.monash.edu.au
The University of Adelaide,www.adelaide.edu.au
University of South Australia,www.unisa.edu.au
University of Melbourne,www.unimelb.edu.au
University of Queensland,www.uq.edu.au
AGL Energy,www.agl.com.au
EnergyAustralia,www.energyaustralia.com.au
Origin Energy,www.originenergy.com.au
synergy Energy,www.synergy.net.au
Australian Football League,www.afl.com.au
Get Up!,www.getup.org.au
